Airport,Terminal,Date,hour,date_time,Total,Flights,Booths
TPA,Main,2/27/2022,15:00,2022/02/27 15:00,8,1,1
TPA,Main,2/27/2022,17:00,2022/02/27 17:00,118,1,5
TPA,Main,2/27/2022,19:00,2022/02/27 19:00,146,1,4
TPA,Main,2/28/2022,10:00,2022/02/28 10:00,77,1,2
TPA,Main,2/28/2022,11:00,2022/02/28 11:00,6,1,1
TPA,Main,2/28/2022,14:00,2022/02/28 14:00,248,2,3
TPA,Main,2/28/2022,17:00,2022/02/28 17:00,202,1,6
TPA,Main,2/28/2022,18:00,2022/02/28 18:00,143,1,3
TPA,Main,3/1/2022,12:00,2022/03/01 12:00,134,1,5
TPA,Main,3/1/2022,19:00,2022/03/01 19:00,129,1,3
TPA,Main,3/2/2022,12:00,2022/03/02 12:00,164,2,5
TPA,Main,3/2/2022,16:00,2022/03/02 16:00,235,1,6
TPA,Main,3/2/2022,17:00,2022/03/02 17:00,10,1,1
TPA,Main,3/2/2022,18:00,2022/03/02 18:00,110,1,5
TPA,Main,3/2/2022,22:00,2022/03/02 22:00,125,1,4
TPA,Main,3/3/2022,12:00,2022/03/03 12:00,46,1,5
TPA,Main,3/3/2022,14:00,2022/03/03 14:00,310,2,6
TPA,Main,3/3/2022,20:00,2022/03/03 20:00,283,2,5
TPA,Main,3/4/2022,11:00,2022/03/04 11:00,76,2,4
